Phylum,Kingdom,synonymous,note
Acidobacteriota,Pseudomonadati,Hydrobacteria
Actinomycetota,Bacillati,Terrabacteria
Aquificota,Pseudomonadati,Hydrobacteria
Armatimonadota,Bacillati,Terrabacteria,includes NCBI-p__Abditibacteriota belongs to n.Pseudomonadati
Atribacterota,Pseudomonadati,Hydrobacteria
Bacillota,Bacillati,Terrabacteria
Bacteroidota,Pseudomonadati,Hydrobacteria, includes NCBI-p__Balneolota+p__Chlorobiota+p__Ignavibacteriota+p__Rhodothermota
Bdellovibrionota,Pseudomonadati,Hydrobacteria
Caldisericota,Pseudomonadati,Hydrobacteria
Calditrichota,Pseudomonadati,Hydrobacteria
Campylobacterota,Pseudomonadati,Hydrobacteria
Campylobacterota_A,Pseudomonadati,Hydrobacteria
Chlamydiota,Pseudomonadati,Hydrobacteria
Chloroflexota,Bacillati,Terrabacteria, includes NCBI-p__Thermomicrobiota belongs to n.Pseudomonadati
Chrysiogenota,Pseudomonadati,Hydrobacteria
Coprothermobacterota,Pseudomonadati,Hydrobacteria
Cyanobacteriota,Bacillati,Terrabacteria
Deinococcota,Thermotogati,Thermotogati
Deferribacterota,Pseudomonadati,Hydrobacteria
Desulfobacterota,Pseudomonadati,Hydrobacteria,belongs to NCBI-p__Thermodesulfobacteriota
Dictyoglomota,Pseudomonadati,Hydrobacteria, synonymous with NCBI-p__Dictyoglomerota
Elusimicrobiota,Pseudomonadati,Hydrobacteria
Fibrobacterota,Pseudomonadati,Hydrobacteria
Fusobacteriota,Fusobacteriati,Fusobacteriati
Gemmatimonadota,Pseudomonadati,Hydrobacteria
Myxococcota,Pseudomonadati,Hydrobacteria
Nitrospinota,Pseudomonadati,Hydrobacteria
Nitrospirota,Pseudomonadati,Hydrobacteria
Planctomycetota,Pseudomonadati,Hydrobacteria
Pseudomonadota,Pseudomonadati,Hydrobacteria
Synergistota,Thermotogati,Thermotogati
Thermotogota,Thermotogati,Thermotogati
Thermosulfidibacterota,Pseudomonadati,Hydrobacteria
Bacillota_A,Bacillati,Terrabacteria
Bacillota_B,Bacillati,Terrabacteria
Bacillota_C,Bacillati,Terrabacteria
Bacillota_D,Bacillati,Terrabacteria
Bacillota_E,Bacillati,Terrabacteria
Bacillota_F,Bacillati,Terrabacteria
Bacillota_G,Bacillati,Terrabacteria
Bacillota_H,Bacillati,Terrabacteria
Bacillota_I,Bacillati,Terrabacteria,NCBI-p__Mycoplasmatota
Bdellovibrionota_G,Pseudomonadati,Hydrobacteria,belongs to NCBI-p__Thermodesulfobacteriota
Desulfobacterota_B,Pseudomonadati,Hydrobacteria
Desulfobacterota_C,Pseudomonadati,Hydrobacteria
Desulfobacterota_D,Pseudomonadati,Hydrobacteria
Desulfobacterota_E,Pseudomonadati,Hydrobacteria
Desulfobacterota_F,Pseudomonadati,Hydrobacteria
Desulfobacterota_G,Pseudomonadati,Hydrobacteria
Myxococcota_A,Pseudomonadati,Hydrobacteria
Nitrospirota_A,Pseudomonadati,Hydrobacteria
Spirochaetota,Pseudomonadati,Hydrobacteria
Verrucomicrobiota,Pseudomonadati,Hydrobacteria, includes NCBI-p__Kiritimatiellota+p__Verrucomicrobiota
Aerophobota,NA,NA
Anaeroferrophillalia,NA,NA
Cloacimonadota,,NA,NA
Dependentiae,NA,NA
Eisenbacteria,NA,NA
Electryoneota,,NA,NA
FCPU426,NA,NA
Fermentibacterota,NA,NA
Firestonebacteria,NA,NA
Goldbacteria,NA,NA
Hydrogenedentota,NA,NA
Krumholzibacteriota,NA,NA
Latescibacterota,NA,NA
Leptospirae,,NA,NA
Margulisbacteria,NA,NA
Marinisomatota,NA,NA
Methylomirabilota,NA,NA
Omnitrophota,NA,NA
Poribacteria,NA,NA
Patescibacteria,NA,NA
4484-113,NA,NA
AUK180,NA,NA
BMS3Abin14,NA,NA
CG03,NA,NA
CG2-30-53-67,NA,NA
CLD3,NA,NA
CSP1-3,NA,NA
CSSED10-310,NA,NA
DTU030,NA,NA
Edwardsbacteria,NA,NA
Eremiobacterota,NA,NA
Hinthialibacterota,NA,NA
JAAXHH01,NA,NA
JAAXVQ01,NA,NA
JABDJQ01,NA,NA
JAGLYR01,NA,NA
JAMCPX01,NA,NA
JANLFM01,Pseudomonadati,Hydrobacteriabelongs to NCBI-p__Coprothermobacterota
KSB1,NA,NA
Lernaellota,NA,NA
QNDG01,NA,NA
RBG-13-66-14,NA,NA
Ratteibacteria,NA,NA
Riflebacteria,NA,NA
NCBI-p__Thermodesulfobacteriota,Pseudomonadati,Hydrobacteria,GTDB-p__Desulfobacterota+p__Desulfobacterota_B~G+p__Thermosulfidibacterota